shipper_id,radius,coverage,entropy
31745,0.0379088488616,3,0.221190066827
12293,0.0615585163883,3,0.229953330729
27790,0.0219971893659,2,0.190048562397
29718,0.00311090540298,1,0.053329260354
28695,0.00528236043161,1,0.0437695792019
14360,0.0,1,0.0373304822478
9241,0.017488832063,2,0.149506804885
24602,0.0311583756408,2,0.230812557711
15387,0.0520998430778,2,0.25226603281
24605,0.0291806900734,3,0.248523529655
6149,0.0,2,0.186652411239
14322,0.04283846397,3,0.196754262077
24612,0.0,2,0.186652411239
14374,0.0288305398411,2,0.186652411239
8234,0.00754552606113,1,0.0699946542146
24619,0.0221942827504,2,0.185956644052
30764,0.0185089576666,2,0.163908498312
20526,0.32276182196,4,0.245220461434
2095,0.113245121876,3,0.245027132606
17458,0.0152471160425,1,0.108143254711
12339,0.00715867156091,1,0.0927048088007
18485,0.0128752203555,1,0.117168014944
13368,0.0199152485451,2,0.151670288533
26684,0.0378605708915,3,0.240038375592
14400,0.0,1,0.0933262056195
12353,0.00909853833248,1,0.0628483762507
18498,0.0107137525243,2,0.138464280471
26462,0.0350316365545,2,0.203231072041
14409,0.140409533802,5,0.303625396132
20554,0.0,2,0.186652411239
20555,0.022974273634,2,0.186906087925
18508,0.0,1,0.0
23630,0.0504213616748,2,0.216815947398
14420,0.0,1,0.062217470413
17493,0.0157288859941,2,0.105283498035
14428,0.0463471187215,4,0.256118223098
34909,0.0,1,0.0
25694,0.0494373570433,4,0.298221717877
17765,0.0,1,0.0
31841,0.608102238597,3,0.229171140597
26722,0.0275375639088,2,0.200653434609
32868,0.00775733391898,1,0.00547963317107
34214,0.0,1,0.0933262056195
14440,0.0414626979735,3,0.265931527994
20586,0.0,1,0.0
15468,0.0424817709785,3,0.206580598563
22640,0.0,1,0.0
31934,0.0171770078368,2,0.128236707695
34935,0.00903874376719,1,0.0857010658285
23672,0.0283537426538,2,0.154391583413
21625,0.0,2,0.186652411239
31867,0.0,1,0.0933262056195
20607,0.0570416389178,2,0.268899433371
16512,0.0202606589442,2,0.160119637656
6279,0.0297859684758,2,0.188140208812
21452,0.115774596284,3,0.219747773871
32909,0.0335264406435,3,0.295837072483
14478,0.0135328060134,1,0.134627014752
24720,0.0,2,0.186652411239
14482,0.00877917022309,1,0.0778152791621
17556,0.0214911069671,2,0.17963121694
26773,0.0119278178854,1,0.0571340438856
18584,0.0,2,0.186652411239
21530,0.0923414557198,3,0.295837072483
20639,0.0,1,0.0933262056195
27808,0.0250027887333,1,0.12062237093
22694,0.0,1,0.0
31911,0.0420865486133,3,0.21959577216
13483,0.0396480275201,2,0.15813564664
18604,0.0386623064485,2,0.166488501812
14770,0.00426827769064,1,0.0739592681207
21682,0.0,1,0.0466631028097
11443,0.022209147295,2,0.275633843149
4276,0.0260235520821,3,0.126888671932
14702,0.0125407089399,1,0.101554771471
11451,0.0,1,0.0
28860,0.0,1,0.0
21194,0.00233261893825,1,0.0
28862,0.0,2,0.186652411239
16579,0.100074134652,3,0.191838218302
20681,0.023698722355,2,0.151427018116
24778,0.0411997827744,3,0.259024361989
26828,0.0,1,0.0933262056195
22736,0.0276481834158,3,0.196313637222
4472,0.0372992675428,3,0.189893493492
28883,0.0,1,0.0
31956,0.0,1,0.0
30933,0.0307006786027,2,0.241244741861
20694,0.0,1,0.0
26461,0.0151893212014,1,0.155105115798
24797,0.0449855162061,3,0.255235377329
17631,0.00375363887403,2,0.116123514523
20466,0.0,2,0.186652411239
15588,0.0120807186983,2,0.114352337957
16613,0.0,1,0.0
19686,0.0,2,0.186652411239
32912,0.0,1,0.0
6379,0.00985703831134,2,0.182839841343
12524,0.0217086348211,1,0.109089060843
14573,0.0392508164116,2,0.223656989766
16477,0.0160382739487,2,0.137838623035
14578,0.043175477319,2,0.187218983361
9939,0.0900738744828,3,0.218274135414
23796,0.0,1,0.0
14582,0.0165819983239,1,0.144055496408
22776,0.0354699733202,3,0.248869881652
17658,0.0765041349051,2,0.194621553289
29948,0.0346866515169,3,0.226481033785
27901,0.0151502169857,1,0.144641836087
14590,0.0,1,0.0
14591,0.0146479719993,2,0.146466168428
18816,0.0122463871066,2,0.127606631951
3330,0.0896534981449,4,0.317605826765
14379,0.0560015029424,2,0.209507587857
10306,0.0204853514273,1,0.117691673436
17671,0.0,2,0.186652411239
16648,0.0362291187539,3,0.249432291732
25866,0.0,1,0.0
15633,0.0235429763331,1,0.132789502605
27922,0.0,1,0.0
16659,0.016269297855,2,0.160149580154
11310,0.0541283283439,3,0.255260043371
14615,0.0232706643669,2,0.163970931213
11546,0.0123452564241,1,0.0887369636075
15066,0.0,1,0.0
15647,0.0674178827904,3,0.286536564398
21792,0.0,1,0.0
29986,0.023873741968,2,0.171402131657
33063,0.0,1,0.0
23850,0.0976797293338,1,0.101312009306
19755,0.0,2,0.186652411239
19764,0.0,1,0.0
26933,0.0294130051451,3,0.236801811659
13627,0.0439574480905,4,0.235348366141
23868,0.023504957661,2,0.153800881385
18761,8.27165977217,4,0.383205540441
20811,0.0,1,0.0
18767,0.0454250983803,3,0.229034552074
33336,0.0,1,0.0933262056195
22867,0.0480854368402,3,0.205349104532
29013,0.0605871173713,1,0.111751044928
21049,0.0340054378073,2,0.169827187004
20828,0.0181004084039,1,0.0701488446532
30053,0.0393285844724,2,0.186652411239
23910,0.0,1,0.0
20881,0.0744215172508,3,0.289184567199
6204,0.151450742269,7,0.466574685795
28013,0.0280370155024,3,0.279978616858
36206,0.025212019198,4,0.210354610658
20029,0.0,2,0.186652411239
29043,0.0,1,0.0933262056195
18806,0.0324404684868,2,0.164985387837
35191,0.0149346229602,2,0.160829827907
14712,0.00773124405435,1,0.0678736040869
14716,0.0,1,0.0
19840,0.00932470377484,2,0.130979504612
17472,0.016142931664,1,0.062217470413
16772,0.0132008527374,2,0.102009049653
16773,0.0364212585067,2,0.145894028438
29062,0.0,2,0.186652411239
36231,0.00200459349039,1,0.0596757571493
16777,0.0213928573369,1,0.112845187129
23949,0.0303363566828,2,0.103987322671
26349,0.095419017762,3,0.222540098245
3472,0.0311629055289,3,0.199677121528
13713,0.0,1,0.0933262056195
34195,0.0,1,0.0
14743,0.0245143406523,2,0.159659588335
15768,0.0,1,0.062217470413
23965,0.0,2,0.186652411239
15777,0.0281210413908,2,0.176711548265
11684,0.0285228840843,3,0.237345587362
28070,0.0,1,0.0
19879,0.00642102430038,2,0.143900964229
28072,0.0261216971625,3,0.279978616858
31145,0.00346981024907,2,0.149321928991
10666,0.0356514574039,2,0.195175007022
17836,0.0631133250933,3,0.232155859466
32157,0.0302586977463,3,0.217913190456
31153,0.0,1,0.0
26034,0.0193005665546,2,0.0891033630588
32500,0.0227099214726,2,0.136386118034
18223,0.0,1,0.0
7620,0.0974023824572,1,0.159718618393
31990,0.0404810317521,3,0.218443455971
13388,0.0284310503101,3,0.18192534174
14795,0.00974474558862,1,0.0851027405673
10701,0.0341090450398,2,0.174981512688
11728,0.0105469478871,2,0.119317726741
19927,0.0,2,0.186652411239
21976,0.0547179628383,2,0.176990388216
15834,0.0109341865877,2,0.155233729053
24028,0.0,1,0.0
10718,0.0169785250507,1,0.0842193436504
17890,0.0774327319301,3,0.15524926333
31142,0.0557018865036,4,0.237283218005
17831,0.0234800816686,2,0.166377227023
7660,0.020944245974,1,0.0
24046,0.0,1,0.0
14831,0.154454925459,3,0.259824444473
17904,0.00521084897668,2,0.124310560877
12200,0.0,1,0.0933262056195
26098,0.0229620525051,2,0.20543229787
32250,0.0267995286473,3,0.255377066304
29180,0.0520420949153,2,0.222971837038
19965,0.00326201482841,1,0.0
12799,0.0,1,0.0
25088,0.0,1,0.0414783136087
16901,0.0173689182968,2,0.136523100907
9739,0.0266967802832,2,0.186652411239
22029,0.0,1,0.0
10766,0.0569558882532,3,0.232058801164
17941,0.0825352801699,3,0.219969964078
8727,0.0377831238047,2,0.171402131657
19993,0.0198185348554,2,0.142757012414
31151,0.00839620399238,1,0.0933262056195
28190,0.00724039932538,1,0.0493791551723
28592,0.0161683687026,2,0.164773862318
3623,0.219670816252,4,0.311781359497
21032,0.0,2,0.186652411239
18989,0.0536342037263,4,0.289797724813
31837,0.0,1,0.0933262056195
14896,0.00691578243196,1,0.022458269942
11827,0.0185853990377,2,0.256703742218
6710,0.0824517104492,4,0.281177808369
21048,0.007181956479,2,0.148920959634
14905,0.0493150111274,4,0.258474930613
21770,0.0,1,0.0466631028097
8773,0.0476260737033,2,0.171575672328
9800,0.0,1,0.0466631028097
14921,0.0359700470561,3,0.2373887191
9806,0.0,1,0.0
12879,0.00847113530544,1,0.101103389421
25168,0.0,2,0.186652411239
14818,0.0193033604427,2,0.171228367073
9818,0.0228952735007,2,0.152039545151
32349,0.0347469182335,3,0.279978616858
24158,0.00803526504274,1,0.098651569904
9830,0.0468902468764,2,0.211139859123
15978,0.00708603634701,1,0.093447840828
12908,0.0234101592382,2,0.171402131657
20077,0.0,1,0.0
10862,0.0409185197724,2,0.133821547305
22128,0.0174206019678,3,0.284071548643
9846,0.0121086729032,1,0.102008305134
30329,0.13263952366,2,0.227986872951
3706,0.0203801039933,1,0.149672777179
17019,0.0370636579529,2,0.19544959724
12394,0.0499900443064,4,0.25889286117
22143,0.0,1,0.0
32387,0.0594103619843,3,0.295837072483
24947,0.0451591936904,2,0.207234040012
31375,0.0,1,0.0
7824,0.0103281933293,2,0.171382470639
20115,0.0,1,0.0
19094,0.0243258211623,1,0.141868813987
23191,0.0259952303664,2,0.156665226334
12952,0.0175096375267,3,0.280407332287
32410,0.123421854554,6,0.433760920863
31390,0.0608155289706,4,0.25636552106
21156,0.0,1,0.0933262056195
22190,0.0049242168018,1,0.0342804263314
29359,0.0189165997636,3,0.241447356175
15025,0.0302203952824,1,0.146602814456
21171,0.00398387294822,2,0.115979311008
25274,0.0192664454692,2,0.217761146445
26301,0.00255788541139,1,0.0933262056195
21182,0.0501751037609,3,0.216332145718
7871,0.0565121654091,2,0.185011432755
5786,0.0,1,0.0
27335,0.0339172970295,2,0.186866768953
21193,0.0504826599472,3,0.270465040056
22218,0.025056739317,2,0.179366256569
26315,0.0042949027207,1,0.0749616915134
22818,0.0252526482585,1,0.112278813714
31438,0.0211042407807,2,0.1490880302
32464,0.0,1,0.062217470413
20179,0.00567125330313,1,0.122376611868
31445,0.042906346583,3,0.249492021872
21208,0.0,1,0.062217470413
22233,0.0486323587439,2,0.112372283251
21210,0.0,1,0.0
9948,0.0191300996313,3,0.166106366386
24286,0.0,1,0.0
21216,0.026966858908,4,0.309978066062
24016,0.0203134527039,2,0.181600312918
30434,0.0,1,0.0
29416,0.0,1,0.0
12334,0.0999098469733,3,0.258480026465
6893,0.0414741684582,3,0.265586112504
23281,0.0499664331771,2,0.171402131657
20211,0.0,1,0.0
17140,0.0695084931316,3,0.244053268389
5879,0.0,1,0.0
11000,0.00908982694441,2,0.112825657113
6909,0.0722141092187,2,0.21954592809
11007,0.0209712241535,2,0.127656768849
21248,0.0752757728792,4,0.320036499371
14401,0.0748871648839,3,0.242645790997
24453,0.0,1,0.0
13078,0.0358877311418,2,0.143387033129
14107,0.0,2,0.186652411239
31523,0.0,1,0.0
19240,0.0205938655657,2,0.162472103859
33579,0.0130166824255,1,0.0778152791621
31533,0.044059986363,3,0.256931883497
21295,0.0,1,0.0
10033,0.0594655447138,3,0.195339210435
10035,0.0,1,0.0
22328,0.0219431510278,2,0.224104528695
17210,0.0319148276384,2,0.190125250292
5949,0.0,1,0.0
28479,0.0365197961261,3,0.202152424102
17218,0.0,1,0.0
14153,0.0256808060263,3,0.196774440223
14115,0.055561302816,2,0.146123197932
27469,0.0621069035877,5,0.321449506834
29518,0.0104886862195,1,0.139989308429
22353,0.0,1,0.0933262056195
18258,0.0347993107254,3,0.309321248062
27476,0.0293835041968,2,0.140350336819
27477,0.0303518258649,3,0.295837072483
10072,0.0313212422099,2,0.204498809102
19087,0.00764431524439,2,0.151427018116
31581,0.0168523434799,2,0.205338899698
11102,0.0,1,0.0
29537,0.0,1,0.0
9060,0.0166751856372,1,0.120737905816
11667,0.0686700602048,5,0.258767029222
11116,0.0397513204022,4,0.298258113056
15213,0.00529108264494,1,0.0
22382,0.0,2,0.171402131657
20337,0.0,1,0.0
22387,0.0134676794217,2,0.139989308429
14862,0.0,1,0.0
23421,0.0449398326124,3,0.258639808081
17278,0.0,1,0.0
7044,0.0268847870849,2,0.109062377369
15645,0.0,1,0.0
20361,0.0,1,0.062217470413
17560,0.0196001923014,1,0.1522914125
17299,0.0,2,0.186652411239
7063,0.0197605809043,1,0.0977532165087
16367,0.0124710598887,1,0.125727689527
25263,0.0664399282428,4,0.301540831305
26526,0.0270190159373,2,0.147918536241
21407,0.0101582315269,1,0.0571340438856
32458,0.0176942429762,1,0.0966332698824
16298,0.0278244054563,2,0.111172488131
34733,0.0235849825139,2,0.15798994465
11184,0.0400967566627,3,0.243495327026
24499,0.00548158181747,1,0.0757135090579
30646,0.0200721646194,2,0.164218778926
20407,0.0,2,0.186652411239
20468,0.0,2,0.186652411239
6303,0.0,1,0.0
21436,0.0700561969873,3,0.302397804646
28610,0.0,2,0.186652411239
12227,0.00140381343614,2,0.110907018425
21650,0.0,1,0.062217470413
24519,0.0456291902459,2,0.120122968638
27596,0.0271729701799,2,0.174877194552
31693,0.0,1,0.0
18383,0.0634410126892,4,0.280270144375
13264,0.0,2,0.186652411239
23508,0.0344211830979,3,0.210252934272
35801,0.00823771440752,1,0.0373304822478
10202,0.0223468608458,2,0.149096795376
21467,0.0,1,0.062217470413
10206,0.0394388624013,3,0.209972639874
12274,0.0166607519379,2,0.139989308429
23523,0.0055218750589,2,0.169039714677
14308,0.0156914345887,2,0.135627569347
28838,0.0137333577261,2,0.156169509798
20454,0.0,1,0.0
31726,0.0259858571666,2,0.150460249505
18941,0.0130836091198,2,0.20209974854
23536,0.0445469096014,2,0.15310733614
33778,0.0620422703847,3,0.326641719668
15348,0.0,1,0.0466631028097
12278,0.0,1,0.0
19448,0.0157185925107,1,0.138373253362
24571,0.0708941313006,4,0.279351187322
32765,0.012731662715,2,0.154744396561
35838,0.0595477284424,4,0.305783939766
6001,0.0123054909267,2,0.120462444863
